,Domain_x,Topic_x,Variable Name,Variable Label,cluster_labels,age,min,max,Risk,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,total
303,5. Healthcare context,Health Outcomes,CDCP_ASTHMA_ADULT_C,Crude prevalence of current asthma among adults aged 18 years and older (%),111,No,,,Disease Risk,No,,No,,,,,,,,,
304,5. Healthcare context,Health Behaviors,CDCP_BLOOD_MED_ADULT_C,Crude prevalence of adults aged 18 years and older with high blood pressure taking medicine for high blood pressure control (%),179,No,,,Disease Risk,No,,No,,,,,,,,,
305,5. Healthcare context,Health Outcomes,CDCP_CHOLES_ADULT_A,"Age-adjusted prevalence of adults aged 18 years and older who report having been told by a doctor, nurse, or other health professional that they had high cholesterol (%)",185,No,,,Disease Risk,No,,No,,,,,,,,,
306,5. Healthcare context,Health Outcomes,CDCP_CHOLES_ADULT_C,"Crude prevalence of adults aged 18 years and older who report having been told by a doctor, nurse, or other health professional that they had high cholesterol (%)",185,No,,,Disease Risk,No,,No,,,,,,,,,
307,5. Healthcare context,Health Behaviors,CDCP_CHOLES_SCR_ADULT_A,Age-adjusted prevalence of adults aged 18 years and older who report having their cholesterol checked within the previous 5 years (%),185,No,,,Disease Risk,No,,No,,,,,,,,,
308,5. Healthcare context,Health Behaviors,CDCP_CHOLES_SCR_ADULT_C,Crude prevalence of adults aged 18 years and older who report having their cholesterol checked within the previous 5 years (%),185,No,,,Disease Risk,No,,No,,,,,,,,,
309,5. Healthcare context,Health Behaviors,CDCP_NO_PHY_ACTV_ADULT_A,"Age-adjusted prevalence of adults aged 18 years and older who report not having participated in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise other than regular job (%)",126,No,,,Lifestyle,No,,No,,,,,,,,,
310,5. Healthcare context,Health Behaviors,CDCP_NO_PHY_ACTV_ADULT_C,"Crude prevalence of adults aged 18 years and older who report not having participated in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise other than regular job (%)",126,No,,,Lifestyle,No,,No,,,,,,,,,
311,5. Healthcare context,Health Outcomes,CDCP_PULMONARY_ADULT_A,"Age-adjusted prevalence of adults aged 18 years and older who report ever having been told by a doctor, nurse, or other health professional that they had chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis (%)",111,No,,,Disease Risk,No,,No,,,,,,,,,
312,5. Healthcare context,Health Outcomes,CDCP_PULMONARY_ADULT_C,"Crude prevalence of adults aged 18 years and older who report ever having been told by a doctor, nurse, or other health professional that they had chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis (%)",111,No,,,Disease Risk,No,,No,,,,,,,,,
313,5. Healthcare context,Health Behaviors,CDCP_SLEEP_LESS7HR_ADULT_C,Crude prevalence of adults aged 18 years and older who report usually getting less than 7 hours of sleep (%),169,No,,,Lifestyle,No,,No,,,,,,,,,
314,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME1_SOCIECO,Social Vulnerability Index: Percentile ranking for socioeconomic theme,84,No,,,Transportation Risk,No,,No,,,,,,,,,
315,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME1_SOCIECO,Social Vulnerability Index: Percentile ranking for socioeconomic theme,84,No,,,Food Security,No,,No,,,,,,,,,
316,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME1_SOCIECO,Social Vulnerability Index: Percentile ranking for socioeconomic theme,84,No,,,Housing Challenges,No,,No,,,,,,,,,
317,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME2_HH_COMP,Social Vulnerability Index: Percentile ranking for household composition theme,84,No,,,Transportation Risk,No,,No,,,,,,,,,
318,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME2_HH_COMP,Social Vulnerability Index: Percentile ranking for household composition theme,84,No,,,Food Security,No,,No,,,,,,,,,
319,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME2_HH_COMP,Social Vulnerability Index: Percentile ranking for household composition theme,84,No,,,Housing Challenges,No,,No,,,,,,,,,
320,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME3_MINO,Social Vulnerability Index: Percentile ranking for minority status/language theme,84,No,,,Transportation Risk,No,,No,,,,,,,,,
321,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME3_MINO,Social Vulnerability Index: Percentile ranking for minority status/language theme,84,No,,,Food Security,No,,No,,,,,,,,,
322,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME3_MINO,Social Vulnerability Index: Percentile ranking for minority status/language theme,84,No,,,Housing Challenges,No,,No,,,,,,,,,
323,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME4_HH_TRANS,Social Vulnerability Index: Percentile ranking for housing/transportation theme,84,No,,,Transportation Risk,No,,No,,,,,,,,,
324,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME4_HH_TRANS,Social Vulnerability Index: Percentile ranking for housing/transportation theme,84,No,,,Food Security,No,,No,,,,,,,,,
325,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEME4_HH_TRANS,Social Vulnerability Index: Percentile ranking for housing/transportation theme,84,No,,,Housing Challenges,No,,No,,,,,,,,,
326,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEMES_ALL,Percentile ranking for overall Social Vulnerability Index,84,No,,,Transportation Risk,No,,No,,,,,,,,,
327,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEMES_ALL,Percentile ranking for overall Social Vulnerability Index,84,No,,,Food Security,No,,No,,,,,,,,,
328,1. Social context,Socioeconomic Disadvantage Indices,CDCSVI_RPL_THEMES_ALL,Percentile ranking for overall Social Vulnerability Index,84,No,,,Housing Challenges,No,,No,,,,,,,,,
329,5. Healthcare context,Health Outcomes,CDCW_ASSAULT_DTH_RATE,"Total number of deaths from assault per 100,000 population",96,No,,,Social Environmental Risk,No,,No,,,,,,,,,
330,5. Healthcare context,Health Outcomes,CDCW_ASSAULT_DTH_RATE,"Total number of deaths from assault per 100,000 population",96,No,,,Transportation Risk,No,,No,,,,,,,,,
331,5. Healthcare context,Health Outcomes,CDCW_DRUG_DTH_RATE,"Total number of drug poisoning deaths per 100,000 population",96,No,,,Social Environmental Risk,No,,No,,,,,,,,,
332,5. Healthcare context,Health Outcomes,CDCW_DRUG_DTH_RATE,"Total number of drug poisoning deaths per 100,000 population",96,No,,,Transportation Risk,No,,No,,,,,,,,,
333,5. Healthcare context,Health Outcomes,CDCW_INJURY_DTH_RATE,"Total number of deaths from injury per 100,000 population",96,No,,,Social Environmental Risk,No,,No,,,,,,,,,
334,5. Healthcare context,Health Outcomes,CDCW_INJURY_DTH_RATE,"Total number of deaths from injury per 100,000 population",96,No,,,Transportation Risk,No,,No,,,,,,,,,
335,5. Healthcare context,Health Outcomes,CDCW_OPIOID_DTH_RATE,"Total number of drug overdose deaths involving any opioid per 100,000 population",96,No,,,Social Environmental Risk,No,,No,,,,,,,,,
336,5. Healthcare context,Health Outcomes,CDCW_OPIOID_DTH_RATE,"Total number of drug overdose deaths involving any opioid per 100,000 population",96,No,,,Transportation Risk,No,,No,,,,,,,,,
337,5. Healthcare context,Health Outcomes,CDCW_SELFHARM_DTH_RATE,"Total number of deaths from intentional self harm per 100,000 population",96,No,,,Social Environmental Risk,No,,No,,,,,,,,,
338,5. Healthcare context,Health Outcomes,CDCW_SELFHARM_DTH_RATE,"Total number of deaths from intentional self harm per 100,000 population",96,No,,,Transportation Risk,No,,No,,,,,,,,,
339,5. Healthcare context,Health Outcomes,CDCW_TRANSPORT_DTH_RATE,"Total number of deaths from transport accidents per 100,000 population",96,No,,,Social Environmental Risk,No,,No,,,,,,,,,
340,5. Healthcare context,Health Outcomes,CDCW_TRANSPORT_DTH_RATE,"Total number of deaths from transport accidents per 100,000 population",96,No,,,Transportation Risk,No,,No,,,,,,,,,
341,5. Healthcare context,Health Outcomes,CDC_USCS_TOT_INC_COUNT,Total cancer incidence in the county,48,No,,,Disease Risk,No,,No,,,,,,,,,
342,5. Healthcare context,Health Outcomes,CDC_USCS_TOT_MORT_COUNT,Total cancer mortality in the county,48,No,,,Disease Risk,No,,No,,,,,,,,,
343,4. Physical infrastructure,Crime,CHR_FIREARM_DEATH_RATE,"Total number of deaths due to firearms per 100,000 population",96,No,,,Social Environmental Risk,No,,No,,,,,,,,,
344,4. Physical infrastructure,Crime,CHR_FIREARM_DEATH_RATE,"Total number of deaths due to firearms per 100,000 population",96,No,,,Transportation Risk,No,,No,,,,,,,,,
345,5. Healthcare context,Characteristics of health care providers,CHR_MENTAL_PROV_RATE,"Total number of mental health care providers per 100,000 population",72,No,,,Social Environmental Risk,No,,No,,,,,,,,,
346,5. Healthcare context,Characteristics of health care providers,CHR_MENTAL_PROV_RATE,"Total number of mental health care providers per 100,000 population",72,No,,,financial Risk,No,,No,,,,,,,,,
347,5. Healthcare context,Health Outcomes,CHR_PCT_ALCOHOL_DRIV_DEATH,Percentage of driving deaths involving alcohol,140,No,,,Social Environmental Risk,No,,No,,,,,,,,,
348,5. Healthcare context,Health Outcomes,CHR_PCT_ALCOHOL_DRIV_DEATH,Percentage of driving deaths involving alcohol,140,No,,,Lifestyle,No,,No,,,,,,,,,
349,5. Healthcare context,Health Behaviors,CHR_PCT_EXCESS_DRINK,Percentage of adults reporting binge or heavy drinking,140,No,,,Social Environmental Risk,No,,No,,,,,,,,,
350,5. Healthcare context,Health Behaviors,CHR_PCT_EXCESS_DRINK,Percentage of adults reporting binge or heavy drinking,140,No,,,Lifestyle,No,,No,,,,,,,,,
351,4. Physical infrastructure,Food Access,CHR_PCT_FOOD,Percentage of population who lack adequate access to food,131,No,,,Food Security,No,,No,,,,,,,,,
352,5. Healthcare context,Health Outcomes,CHR_PCT_LOW_BIRTH_WT,"Percentage of live births with low birthweight (<2,500 grams)",131,No,,,Food Security,No,,No,,,,,,,,,
353,5. Healthcare context,Health Outcomes,CHR_PCT_MENTAL_DISTRESS,Percentage of adults reporting 14 or more days of poor mental health per month,50,No,,,Lifestyle,No,,No,,,,,,,,,
354,5. Healthcare context,Health Outcomes,CHR_PCT_PHYSICAL_DISTRESS,Percentage of adults reporting 14 or more days of poor physical health per month,50,No,,,Lifestyle,No,,No,,,,,,,,,
355,5. Healthcare context,Health Outcomes,CHR_PCT_POOR_HEALTH,Percentage of adults reporting fair or poor health (age-adjusted),50,No,,,Lifestyle,No,,No,,,,,,,,,
356,5. Healthcare context,Health Behaviors,CHR_PCT_SMOKING,Percentage of adults who are current smokers,140,No,,,Social Environmental Risk,No,,No,,,,,,,,,
357,5. Healthcare context,Health Behaviors,CHR_PCT_SMOKING,Percentage of adults who are current smokers,140,No,,,Lifestyle,No,,No,,,,,,,,,
358,5. Healthcare context,Characteristics of health care providers,CHR_TOT_MENTAL_PROV,Total number of mental health care providers,72,No,,,Social Environmental Risk,No,,No,,,,,,,,,
359,5. Healthcare context,Characteristics of health care providers,CHR_TOT_MENTAL_PROV,Total number of mental health care providers,72,No,,,financial Risk,No,,No,,,,,,,,,
360,3. Education,School System,CRDC_PCT_APEXAM_ONEORMORE,Percentage of all students who took one or more Advanced Placement exams,18,No,,,Educational Challenges,No,,No,,,,,,,,,
361,3. Education,School System,CRDC_PCT_COUNTY_ECE,Percentage of Local Education Authorities in a county that offer early childhood services to children (ages 0-2),109,No,,,Educational Challenges,No,,No,,,,,,,,,
362,3. Education,School System,CRDC_PCT_COUNTY_ECE,Percentage of Local Education Authorities in a county that offer early childhood services to children (ages 0-2),109,No,,,financial Risk,No,,No,,,,,,,,,
363,3. Education,School System,CRDC_PCT_CTY_KGTN,Percentage of Local Education Authorities in a county that offer one or more kindergarten programs,109,No,,,Educational Challenges,No,,No,,,,,,,,,
364,3. Education,School System,CRDC_PCT_CTY_KGTN,Percentage of Local Education Authorities in a county that offer one or more kindergarten programs,109,No,,,financial Risk,No,,No,,,,,,,,,
365,3. Education,School System,CRDC_PCT_CTY_PSLOWINC,Percentage of Local Education Authorities in a county that offer preschool to low-income families,109,No,,,Educational Challenges,No,,No,,,,,,,,,
366,3. Education,School System,CRDC_PCT_CTY_PSLOWINC,Percentage of Local Education Authorities in a county that offer preschool to low-income families,109,No,,,financial Risk,No,,No,,,,,,,,,
367,3. Education,School System,CRDC_PCT_CTY_PSTITLEI,Percentage of Local Education Authorities in a county that offer preschool to children in Title I schools,109,No,,,Educational Challenges,No,,No,,,,,,,,,
368,3. Education,School System,CRDC_PCT_CTY_PSTITLEI,Percentage of Local Education Authorities in a county that offer preschool to children in Title I schools,109,No,,,financial Risk,No,,No,,,,,,,,,
369,3. Education,School System,CRDC_PCT_GTENR_STUDENTS,Percentage of all students who are enrolled in a gifted and talented education program,18,No,,,Educational Challenges,No,,No,,,,,,,,,
370,3. Education,School System,CRDC_PCT_LAW_REFERRAL,Percentage of all students who were referred to a law enforcement agency,18,No,,,Educational Challenges,No,,No,,,,,,,,,
371,3. Education,School System,CRDC_PCT_LEP_STUDENTS,Percentage of all students with limited English proficiency,18,No,,,Educational Challenges,No,,No,,,,,,,,,
372,3. Education,School System,CRDC_PCT_RETAIN,Percentage of all students who were retained,18,No,,,Educational Challenges,No,,No,,,,,,,,,
373,3. Education,School System,CRDC_TOT_ALT,Total number of alternative schools in the county,35,No,,,Educational Challenges,No,,No,,,,,,,,,
374,3. Education,School System,CRDC_TOT_CHARTER,Total number of charter schools in the county,35,No,,,Educational Challenges,No,,No,,,,,,,,,
375,3. Education,School System,CRDC_TOT_DIST_ENROLL,Total number of students enrolled in distance educational courses,18,No,,,Educational Challenges,No,,No,,,,,,,,,
376,3. Education,School System,CRDC_TOT_FIREARM,Total number of incidents of possession of a firearm or explosive device,78,No,,,Social Environmental Risk,No,,No,,,,,,,,,
377,3. Education,School System,CRDC_TOT_LEA,Total number of Local Education Authorities in a county,35,No,,,Educational Challenges,No,,No,,,,,,,,,
378,3. Education,School System,CRDC_TOT_MAGNET,Total number of magnet schools or schools operating a magnet program in the county,35,No,,,Educational Challenges,No,,No,,,,,,,,,
379,3. Education,School System,CRDC_TOT_RAPE_ASSAULT,"Total number of incidents of rape, attempted rape, or sexual assault",78,No,,,Social Environmental Risk,No,,No,,,,,,,,,
380,3. Education,School System,CRDC_TOT_SCHOOLS,Total number of public schools in the county,35,No,,,Educational Challenges,No,,No,,,,,,,,,
381,3. Education,School System,CRDC_TOT_SCH_FIREARM,Total number of schools in the county with at least one incident that involved a shooting,35,No,,,Educational Challenges,No,,No,,,,,,,,,
382,3. Education,School System,CRDC_TOT_SPEDS,Total number of special education schools in the county,35,No,,,Educational Challenges,No,,No,,,,,,,,,
383,3. Education,School System,CRDC_TOT_STUDENTS,Total number of students in the county,35,No,,,Educational Challenges,No,,No,,,,,,,,,
384,3. Education,School System,CRDC_TOT_STUD_IDEA,Total number of Individuals with Disabilities Education Act (IDEA) students in the county,18,No,,,Educational Challenges,No,,No,,,,,,,,,
385,3. Education,School System,CRDC_TOT_STUD_LEP,Total number of students with limited English proficiency in the county,18,No,,,Educational Challenges,No,,No,,,,,,,,,
386,6. Geography,Urban/rural codes,ERS_RUCA1_2010,Primary Rural-Urban Commuting Area Code 2010  (ZIP level),1,No,,,Transportation Risk,No,,No,,,,,,,,,
387,6. Geography,Urban/rural codes,ERS_RUCA2_2010,Secondary Rural-Urban Commuting Area Code 2010 (ZIP level),1,No,,,Transportation Risk,No,,No,,,,,,,,,
388,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_20_POP,Percentage of low access population measured at 1 mile for urban areas and 20 miles for rural areas,145,No,,,Transportation Risk,No,,No,,,,,,,,,
389,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_AIAN,"Percentage of tract population who are American Indian or Alaska Native living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",53,No,,,Food Security,No,,Yes,1.0,,,,,,,,1.0
390,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_ASIAN,"Percentage of tract population who are Asian living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",53,No,,,Food Security,No,,Yes,,1.0,,,,,,,1.0
391,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_BLACK,"Percentage of tract population who are Black or African American living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",53,No,,,Food Security,No,,Yes,,,1.0,,,,,,1.0
392,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_HISP,"Percentage of tract population who are Hispanic or Latino living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",53,No,,,Food Security,No,,Yes,,,,1.0,,,,,1.0
393,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_MR,"Percentage of tract population who are not included in the White, Black or African American, American Indian or Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander race categories or who identify as more than one race living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",53,No,,,Food Security,No,,Yes,1.0,1.0,1.0,,,,1.0,1,5.0
394,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_NHPI,"Percentage of tract population who are Native Hawaiian or Other Pacific Islander living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",53,No,,,Food Security,No,,Yes,,,,,,,,1,1.0
395,4. Physical infrastructure,Food Access,FARA_PCT_LA_1_WHITE,"Percentage of tract population who are White living more than 1 mile from the nearest supermarket, supercenter, or large grocery store",53,No,,,Food Security,No,,Yes,,,,,,,1.0,,1.0
396,4. Physical infrastructure,Food Access,FARA_TRACT_LILA_1_20,Indicator for low income and low access tract measured at 1 mile for urban areas and 20 miles for rural areas,44,No,,,Transportation Risk,No,,No,,,,,,,,,0.0
397,4. Physical infrastructure,Food Access,FARA_TRACT_LILA_1_20,Indicator for low income and low access tract measured at 1 mile for urban areas and 20 miles for rural areas,44,No,,,financial Risk,No,,No,,,,,,,,,0.0
398,4. Physical infrastructure,Food Access,FARA_TRACT_LILA_VEHICLE_20,Indicator for low income and low access tract using vehicle access or low income and low access tract measured at 20 miles,44,No,,,Transportation Risk,No,,No,,,,,,,,,
399,4. Physical infrastructure,Food Access,FARA_TRACT_LILA_VEHICLE_20,Indicator for low income and low access tract using vehicle access or low income and low access tract measured at 20 miles,44,No,,,financial Risk,No,,No,,,,,,,,,
400,4. Physical infrastructure,Food Access,FEA_PCT_FARMERS_MARKET_SFMNP,Percentage of all farmers' markets that accept SFMNP benefits,67,No,,,Food Security,No,,No,,,,,,,,,
401,4. Physical infrastructure,Food Access,FEA_PCT_FARMERS_MARKET_SNAP,Percentage of all farmers' markets that accept SNAP benefits,67,No,,,Food Security,No,,No,,,,,,,,,
402,4. Physical infrastructure,Food Access,FEA_PCT_FARMERS_MARKET_WIC_CASH,Percentage of all farmers' markets that accept WIC Cash Value vouchers,67,No,,,Food Security,No,,No,,,,,,,,,
403,4. Physical infrastructure,Food Access,FEA_TOT_FARMERS_MARKET,Total number of farmers' markets,67,No,,,Food Security,No,,No,,,,,,,,,
404,4. Physical infrastructure,Food Access,FEA_TOT_FOODBANK,Total number of food banks (from Feeding America's nationwide network of food banks),26,No,,,Food Security,No,,No,,,,,,,,,
405,5. Healthcare context,Characteristics of health care facilities,HIFLD_UC,Total number of urgent care organizations,0,No,,,Transportation Risk,No,,No,,,,,,,,,
406,5. Healthcare context,Characteristics of health care facilities,HIFLD_UC_RATE,"Total number of urgent care organizations per 1,000 population",0,No,,,Transportation Risk,No,,No,,,,,,,,,
407,5. Healthcare context,Health outcomes,LTC_AVG_ACUITY_INDEX,Average acuity index of the nursing home residents in the county,60,No,,,Lifestyle,No,,No,,,,,,,,,
408,5. Healthcare context,Health outcomes,LTC_AVG_ACUITY_INDEX,Average acuity index of the nursing home residents in the county,60,No,,,financial Risk,No,,No,,,,,,,,,
409,5. Healthcare context,Utilization and costs,LTC_AVG_PCT_MEDICAID,Average percentage of nursing home residents in the county whose primary support is Medicaid,60,No,,,Lifestyle,No,,No,,,,,,,,,
410,5. Healthcare context,Utilization and costs,LTC_AVG_PCT_MEDICAID,Average percentage of nursing home residents in the county whose primary support is Medicaid,60,No,,,financial Risk,No,,No,,,,,,,,,
411,5. Healthcare context,Utilization and costs,LTC_AVG_PCT_MEDICARE,Average percentage of nursing home residents in the county whose primary support is Medicare,60,No,,,Lifestyle,No,,No,,,,,,,,,
412,5. Healthcare context,Utilization and costs,LTC_AVG_PCT_MEDICARE,Average percentage of nursing home residents in the county whose primary support is Medicare,60,No,,,financial Risk,No,,No,,,,,,,,,
413,5. Healthcare context,Health outcomes,LTC_AVG_PCT_PRESSURE_ULCER,Average percentage of high-risk long-stay nursing home residents with pressure ulcers in the county,60,No,,,Lifestyle,No,,No,,,,,,,,,
414,5. Healthcare context,Health outcomes,LTC_AVG_PCT_PRESSURE_ULCER,Average percentage of high-risk long-stay nursing home residents with pressure ulcers in the county,60,No,,,financial Risk,No,,No,,,,,,,,,
415,5. Healthcare context,Utilization and costs,LTC_OCCUPANCY_RATE,Total nursing home occupancy rate in the county,60,No,,,Lifestyle,No,,No,,,,,,,,,
416,5. Healthcare context,Utilization and costs,LTC_OCCUPANCY_RATE,Total nursing home occupancy rate in the county,60,No,,,financial Risk,No,,No,,,,,,,,,
417,5. Healthcare context,Characteristics of health care facilities,LTC_PCT_FOR_PROFIT,Percentage of nursing homes that are for-profit,60,No,,,Lifestyle,No,,No,,,,,,,,,
418,5. Healthcare context,Characteristics of health care facilities,LTC_PCT_FOR_PROFIT,Percentage of nursing homes that are for-profit,60,No,,,financial Risk,No,,No,,,,,,,,,
419,5. Healthcare context,Characteristics of health care facilities,LTC_PCT_MULTI_FAC,Percentage of nursing homes that are owned or leased by a multi-facility (chain) organization,60,No,,,Lifestyle,No,,No,,,,,,,,,
420,5. Healthcare context,Characteristics of health care facilities,LTC_PCT_MULTI_FAC,Percentage of nursing homes that are owned or leased by a multi-facility (chain) organization,60,No,,,financial Risk,No,,No,,,,,,,,,
421,5. Healthcare context,Health insurance status,MGV_PCT_BEN_FFS_BLACK,Percentage of Medicare FFS beneficiaries who are Black or African American,142,No,,,financial Risk,No,,Yes,,,1.0,,,,,,1.0
422,5. Healthcare context,Health insurance status,MGV_PCT_BEN_FFS_HISPANIC,Percentage of Medicare FFS beneficiaries who are Hispanic,142,No,,,financial Risk,No,,Yes,,,,1.0,,,,,1.0
423,5. Healthcare context,Health insurance status,MGV_PCT_BEN_FFS_WHITE,Percentage of Medicare FFS beneficiaries who are non-Hispanic White,142,No,,,financial Risk,No,,Yes,,,,1.0,,,1.0,,2.0
424,5. Healthcare context,Health insurance status,MGV_PCT_MEDICAID,Percentage of Medicare FFS beneficiaries who are eligible for Medicaid for at least one month,5,No,,,financial Risk,No,,No,,,,,,,,,
425,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_EM,Per capita Medicare E&M actual payment,24,No,,,financial Risk,No,,No,,,,,,,,,
426,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_HC,Per capita Medicare FQHC/RHC actual payment,24,No,,,financial Risk,No,,No,,,,,,,,,
427,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_IP,Per capita Medicare inpatient actual payment,24,No,,,financial Risk,No,,No,,,,,,,,,
428,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_OP,Per capita Medicare outpatient actual payment,24,No,,,financial Risk,No,,No,,,,,,,,,
429,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_PA,Per capita Medicare post acute care actual payment,24,No,,,financial Risk,No,,No,,,,,,,,,
430,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_EM,Per capita Medicare E&M standardized payment,24,No,,,financial Risk,No,,No,,,,,,,,,
431,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_HC,Per capita Medicare FQHC/RHC standardized payment,24,No,,,financial Risk,No,,No,,,,,,,,,
432,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_IP,Per capita Medicare inpatient standardized payment,24,No,,,financial Risk,No,,No,,,,,,,,,
433,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_OP,Per capita Medicare outpatient standardized payment,24,No,,,financial Risk,No,,No,,,,,,,,,
434,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_PA,Per capita Medicare post acute care standardized payment,24,No,,,financial Risk,No,,No,,,,,,,,,
435,5. Healthcare context,Health insurance status,MGV_TOT_BEN_FFS,Total number of Medicare FFS beneficiaries,5,No,,,financial Risk,No,,No,,,,,,,,,
436,5. Healthcare context,Health insurance status,MGV_TOT_BEN_PART_A_B,Total number of Medicare beneficiaries with Part A and Part B,5,No,,,financial Risk,No,,No,,,,,,,,,
437,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME1_SOCIECO,Minority Health Social Vulnerability Index: Percentile ranking for socioeconomic theme,84,No,,,Transportation Risk,No,,No,,,,,,,,,
438,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME1_SOCIECO,Minority Health Social Vulnerability Index: Percentile ranking for socioeconomic theme,84,No,,,Food Security,No,,No,,,,,,,,,
439,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME1_SOCIECO,Minority Health Social Vulnerability Index: Percentile ranking for socioeconomic theme,84,No,,,Housing Challenges,No,,No,,,,,,,,,
440,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME2_HH_COMP,Minority Health Social Vulnerability Index: Percentile ranking for household composition theme,84,No,,,Transportation Risk,No,,No,,,,,,,,,
441,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME2_HH_COMP,Minority Health Social Vulnerability Index: Percentile ranking for household composition theme,84,No,,,Food Security,No,,No,,,,,,,,,
442,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME2_HH_COMP,Minority Health Social Vulnerability Index: Percentile ranking for household composition theme,84,No,,,Housing Challenges,No,,No,,,,,,,,,
443,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME3_MINO,Minority Health Social Vulnerability Index: Percentile ranking for minority status/language theme,84,No,,,Transportation Risk,No,,Yes,,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0
444,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME3_MINO,Minority Health Social Vulnerability Index: Percentile ranking for minority status/language theme,84,No,,,Food Security,No,,Yes,,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0
445,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME3_MINO,Minority Health Social Vulnerability Index: Percentile ranking for minority status/language theme,84,No,,,Housing Challenges,No,,Yes,,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0
446,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME4_HH_TRANS,Minority Health Social Vulnerability Index: Percentile ranking for housing/transportation theme,84,No,,,Transportation Risk,No,,No,,,,,,,,,
447,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME4_HH_TRANS,Minority Health Social Vulnerability Index: Percentile ranking for housing/transportation theme,84,No,,,Food Security,No,,No,,,,,,,,,
448,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME4_HH_TRANS,Minority Health Social Vulnerability Index: Percentile ranking for housing/transportation theme,84,No,,,Housing Challenges,No,,No,,,,,,,,,
449,1. Social Context,Socioeconomic Disadvantage Indices,MHSVI_RPL_THEME5_HCI_ACCESS,Minority Health Social Vulnerability Index: Percentile ranking for health care infrastructure/access theme,84,No,,,Transportation Risk,No,,Yes,,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0
